time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
4250.038870	332.525635	-0.680170	-0.293589	63
4252.071482	332.248138	-0.681108	-0.292333	65
4254.109848	332.178314	-0.681924	-0.291730	67
4256.149467	332.269867	-0.682260	-0.289655	69
4258.187526	332.051086	-0.683044	-0.287949	71
4260.221779	331.490417	-0.684156	-0.286492	73
4262.256085	331.173218	-0.683813	-0.284934	75
4264.293449	331.236847	-0.685994	-0.284101	77
4266.332743	331.660828	-0.687188	-0.282777	79
4268.368280	332.053955	-0.688053	-0.281256	81
4270.400089	332.307526	-0.689516	-0.279841	83
4272.432266	332.495972	-0.690470	-0.278129	85
4274.465847	332.764496	-0.691325	-0.276648	87
4276.501320	332.992096	-0.692049	-0.275204	89
4278.537236	333.124481	-0.693847	-0.274461	91
4280.572682	333.227692	-0.694424	-0.273447	93
4282.610148	333.474121	-0.695917	-0.272404	95
4284.646467	333.651276	-0.696360	-0.270956	97
4286.682523	333.738342	-0.696774	-0.269142	99
4288.716232	333.589508	-0.698502	-0.268215	101
4290.752093	333.407257	-0.698938	-0.266675	103
4292.788773	333.371918	-0.698875	-0.264921	105
4294.828141	333.243225	-0.698813	-0.263744	107
4296.866193	333.343628	-0.697740	-0.262372	109
4298.903027	333.205963	-0.699170	-0.261580	111
4300.937130	333.187927	-0.701276	-0.260346	113
4302.971913	333.228485	-0.703780	-0.259107	115
4305.006507	333.381470	-0.704217	-0.257550	117
4307.042138	333.691895	-0.704344	-0.256217	119
4309.077811	334.026550	-0.704883	-0.254878	121
4311.112162	154.223923	0.705306	0.253536	123
4313.148252	154.305511	0.706448	0.252368	125
4315.182671	154.419754	0.706918	0.251368	127
4317.217592	154.426910	0.708285	0.249775	129
4319.252343	154.402969	0.708464	0.248430	131
4321.289806	154.490067	0.709001	0.246867	133
4323.326084	154.443130	0.710114	0.246233	135
4325.362175	154.230316	0.712261	0.245156	137
4327.397176	333.928680	-0.713558	-0.244082	139
4329.433436	333.722870	-0.714061	-0.242831	141
4331.469317	333.597534	-0.714146	-0.241722	143
