time (s)	coil I (A)	last det (V)	int current (uC)
5645.098957	1.072478	0.647316	472.962769
5645.099851	1.532878	0.647316	1843.356079
5645.100819	1.517915	0.647316	3312.697754
5645.101723	1.477731	0.647316	4648.566406
5645.102620	1.438997	0.647316	5939.346191
5645.103581	1.400197	0.647316	7284.935059
5645.104500	1.056588	0.647316	8255.939453
5645.105397	0.124775	0.647316	8367.863281
5645.106291	0.089656	0.647316	8448.015625
5645.107234	0.089755	0.647316	8532.654297
5645.108136	0.089700	0.647316	8613.563477
5645.109025	0.089744	0.647316	8693.345703
5645.109955	0.089758	0.647316	8776.821289
5645.110860	0.089714	0.647316	8858.012695
5645.111757	0.089729	0.647316	8938.500000
5645.112642	0.089725	0.647316	9017.907227
5645.113592	0.089817	0.647316	9103.233398
5646.098889	1.078165	0.659940	475.470856
5646.099868	1.536119	0.659940	1979.331787
5646.100779	1.516805	0.659940	3361.141602
5646.101678	1.476508	0.659940	4688.521973
5646.102617	1.436741	0.659940	6037.621582
5646.103523	1.398787	0.659940	7304.922363
5646.104432	1.064582	0.659940	8272.627930
5646.105330	0.126797	0.659940	8386.491211
5646.106285	0.089714	0.659940	8472.167969
5646.107184	0.089780	0.659940	8552.880859
5646.108088	0.089777	0.659940	8634.039062
5646.108974	0.089751	0.659940	8713.558594
5646.109908	0.089795	0.659940	8797.426758
5646.110808	0.089700	0.659940	8878.156250
5646.111709	0.089784	0.659940	8959.051758
5646.112637	0.089766	0.659940	9042.354492
5646.113545	0.089788	0.659940	9123.881836
5647.135176	1.063634	0.659767	463.744446
5647.136136	1.535427	0.659767	1937.754639
5647.137049	1.517432	0.659767	3323.169678
5647.137966	1.476837	0.659767	4677.429199
5647.138866	1.437455	0.659767	5971.138672
5647.139833	1.398237	0.659767	7323.234375
5647.140765	1.028280	0.659767	8281.591797
5647.141664	0.118521	0.659767	8388.141602
5647.142600	0.089590	0.659767	8471.998047
5647.143499	0.089744	0.659767	8552.677734
5647.144398	0.089703	0.659767	8633.321289
5647.145283	0.089641	0.659767	8712.653320
5647.146210	0.089872	0.659767	8795.964844
5647.147114	0.089714	0.659767	8877.066406
5647.148022	0.089663	0.659767	8958.480469
5647.148946	0.089791	0.659767	9041.447266
5647.149844	0.089729	0.659767	9122.023437
5648.136668	1.090547	0.638256	490.746094
5648.137581	1.533867	0.638256	1891.166870
5648.138483	1.519069	0.638256	3261.366699
5648.139436	1.476815	0.638256	4668.771484
5648.140350	1.437616	0.638256	5982.752441
5648.141261	1.399805	0.638256	7257.974609
5648.142166	1.062554	0.638256	8219.585937
5648.143120	0.121538	0.638256	8335.533203
5648.144028	0.089590	0.638256	8416.880859
5648.144926	0.089707	0.638256	8497.437500
5648.145865	0.089740	0.638256	8581.703125
5648.146769	0.089685	0.638256	8662.778320
5648.147669	0.089674	0.638256	8743.485352
5648.148556	0.089740	0.638256	8823.084961
5648.149495	0.089758	0.638256	8907.368164
5648.150408	0.089656	0.638256	8989.223633
5648.151309	0.089707	0.638256	9070.049805
5649.169873	1.077524	0.664794	473.033234
5649.170778	1.533629	0.664794	1860.967651
5649.171672	1.520281	0.664794	3220.098633
5649.172613	1.478851	0.664794	4611.697754
5649.173528	1.439308	0.664794	5928.664551
5649.174439	1.401500	0.664794	7205.431152
5649.175331	1.108517	0.664794	8194.228516
5649.176296	0.132620	0.664794	8322.206055
5649.177203	0.089678	0.664794	8403.543945
5649.178093	0.089685	0.664794	8483.363281
5649.179017	0.089773	0.664794	8566.313477
5649.179920	0.089769	0.664794	8647.375000
5649.180824	0.089659	0.664794	8728.426758
5649.181712	0.089707	0.664794	8808.086914
5649.182655	0.089795	0.664794	8892.763672
5649.183556	0.089788	0.664794	8973.662109
5649.184463	0.089707	0.664794	9055.026367
5650.173395	1.075701	0.658821	478.686798
5650.174295	1.533336	0.658821	1858.689331
5650.175190	1.519475	0.658821	3218.619629
5650.176147	1.478137	0.658821	4633.197266
5650.177062	1.438678	0.658821	5949.587402
5650.177968	1.401064	0.658821	7218.951660
5650.178905	1.097596	0.658821	8247.399414
5650.179817	0.130470	0.658821	8366.387695
5650.180716	0.089608	0.658821	8446.945312
5650.181605	0.089667	0.658821	8526.659180
5650.182560	0.089828	0.658821	8612.444336
5650.183461	0.089795	0.658821	8693.349609
5650.184357	0.089740	0.658821	8773.756836
5650.185245	0.089769	0.658821	8853.471680
5650.186196	0.089813	0.658821	8938.883789
5650.187102	0.089762	0.658821	9020.208008
5650.188001	0.089747	0.658821	9100.890625
5651.204044	1.066106	0.682580	468.020508
5651.204936	1.532395	0.682580	1834.916870
5651.205908	1.518069	0.682580	3310.479980
5651.206831	1.477189	0.682580	4673.925293
5651.207727	1.438129	0.682580	5962.488281
5651.208661	1.399790	0.682580	7269.892090
5651.209586	1.058917	0.682580	8249.390625
5651.210512	0.121740	0.682580	8362.121094
5651.211409	0.089678	0.682580	8442.562500
5651.212339	0.089828	0.682580	8526.102539
5651.213250	0.089777	0.682580	8607.888672
5651.214157	0.089707	0.682580	8689.252930
5651.215049	0.089744	0.682580	8769.304687
5651.215999	0.089843	0.682580	8854.655273
5651.216902	0.089784	0.682580	8935.730469
5651.217791	0.089689	0.682580	9015.463867
5651.218712	0.089773	0.682580	9098.144531
5652.212235	1.139978	0.698935	574.548950
5652.213154	1.536376	0.698935	1986.478271
5652.214060	1.516805	0.698935	3360.704102
5652.214953	1.476471	0.698935	4679.192383
5652.215893	1.436521	0.698935	6029.522461
5652.216818	1.398146	0.698935	7322.807129
5652.217723	1.050967	0.698935	8273.931641
5652.218678	0.121685	0.698935	8390.140625
5652.219585	0.089707	0.698935	8471.504883
5652.220489	0.089663	0.698935	8552.560547
5652.221381	0.089692	0.698935	8632.566406
5652.222325	0.089850	0.698935	8717.384766
5652.223229	0.089700	0.698935	8798.473633
5652.224130	0.089755	0.698935	8879.342773
5652.225019	0.089777	0.698935	8959.154297
5652.225951	0.089755	0.698935	9042.805664
5652.226862	0.089736	0.698935	9124.555664
5653.239773	1.089965	0.683200	490.484039
5653.240680	1.533787	0.683200	1881.628540
5653.241574	1.518948	0.683200	3239.567871
5653.242533	1.477588	0.683200	4656.574707
5653.243446	1.438088	0.683200	5969.549316
5653.244348	1.400629	0.683200	7232.916504
5653.245283	1.084123	0.683200	8246.572266
5653.246199	0.128405	0.683200	8364.190430
5653.247103	0.089630	0.683200	8445.215820
5653.247998	0.089681	0.683200	8525.480469
5653.248947	0.089773	0.683200	8610.674805
5653.249846	0.089740	0.683200	8691.350586
5653.250753	0.089773	0.683200	8772.774414
5653.251643	0.089788	0.683200	8852.685547
5653.252579	0.089788	0.683200	8936.726562
5653.253475	0.089747	0.683200	9017.140625
5653.254376	0.089685	0.683200	9097.947266
5654.249958	1.098333	0.691555	506.331299
5654.250857	1.534021	0.691555	1885.416138
5654.251751	1.519226	0.691555	3243.604248
5654.252698	1.477636	0.691555	4642.924805
5654.253611	1.438447	0.691555	5956.227051
5654.254510	1.401138	0.691555	7215.849609
5654.255460	1.080527	0.691555	8242.350586
5654.256378	0.126434	0.691555	8358.416992
5654.257282	0.089641	0.691555	8439.452148
5654.258168	0.089722	0.691555	8518.945312
5654.259114	0.089843	0.691555	8603.936523
5654.260022	0.089777	0.691555	8685.454102
5654.260916	0.089821	0.691555	8765.753906
5654.261859	0.089802	0.691555	8850.437500
5654.262755	0.089828	0.691555	8930.922852
5654.263655	0.089824	0.691555	9011.764648
5654.264547	0.089784	0.691555	9091.851562
5655.275995	1.087057	0.676219	482.653259
5655.276898	1.533761	0.676219	1867.639404
5655.277794	1.519907	0.676219	3229.476074
5655.278756	1.477614	0.676219	4650.940430
5655.279669	1.438154	0.676219	5963.975586
5655.280582	1.400468	0.676219	7242.602539
5655.281505	1.066534	0.676219	8227.013672
5655.282440	0.125588	0.676219	8344.438477
5655.283354	0.089656	0.676219	8426.383789
